Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Adj Close
2015-09-02,254.6291961669922,254.6291961669922,254.6291961669922,254.6291961669922,0.0,0.0,0.0,
2015-09-03,257.7228088378906,257.7228088378906,257.7228088378906,257.7228088378906,0.0,0.0,0.0,
2015-09-04,259.7999877929688,259.7999877929688,252.5500030517578,255.8899993896484,197.0,0.0,0.0,
2015-09-07,260.0,260.0,252.0,252.0,190.0,0.0,0.0,
2015-09-08,251.0,251.5,251.0,251.5,102.0,0.0,0.0,
2015-09-09,255.25,255.25,255.25,255.25,19.0,0.0,0.0,
2015-09-10,253.0,255.0,250.5700073242188,254.9499969482422,332.0,0.0,0.0,
2015-09-11,257.0499877929688,258.3999938964844,251.1499938964844,258.3999938964844,268.0,0.0,0.0,
2015-09-14,257.2000122070312,258.7999877929688,256.1000061035156,258.7000122070312,688.0,0.0,0.0,
2015-09-15,257.25,258.9500122070312,255.0,256.6499938964844,721.0,0.0,0.0,
2015-09-16,256.1000061035156,259.8999938964844,256.1000061035156,257.5499877929688,209.0,0.0,0.0,
2015-09-18,261.3999938964844,263.8999938964844,246.0,261.2999877929688,524.0,0.0,0.0,
2015-09-21,262.3500061035156,262.8500061035156,262.3500061035156,262.8500061035156,14.0,0.0,0.0,
2015-09-22,262.8500061035156,263.0,240.0,257.8999938964844,200.0,0.0,0.0,
2015-09-23,256.25,259.9700012207031,256.0,257.6499938964844,394.0,0.0,0.0,
2015-09-24,258.0,258.9500122070312,257.75,257.8599853515625,280.0,0.0,0.0,
2015-09-28,257.0,258.989990234375,255.1000061035156,256.7000122070312,402.0,0.0,0.0,
2015-09-29,254.6999969482422,259.25,254.0,255.3500061035156,913.0,0.0,0.0,
2015-09-30,258.75,259.5,258.75,259.5,303.0,0.0,0.0,
2015-10-01,240.0,264.8500061035156,240.0,261.4500122070312,152.0,0.0,0.0,
2015-10-05,255.5,267.0,255.5,264.8399963378906,138.0,0.0,0.0,
2015-10-06,268.0,270.0,267.5,268.989990234375,347.0,0.0,0.0,
2015-10-07,266.1000061035156,270.3999938964844,266.1000061035156,268.5799865722656,365.0,0.0,0.0,
2015-10-08,268.25,268.25,266.0,267.4500122070312,671.0,0.0,0.0,
2015-10-09,270.0,270.1499938964844,268.3999938964844,268.9400024414062,1649.0,0.0,0.0,
2015-10-12,272.0,272.0,269.8999938964844,269.8999938964844,2.0,0.0,0.0,
2015-10-13,269.2000122070312,269.2000122070312,268.0,268.0,9.0,0.0,0.0,
2015-10-14,268.0,268.0,267.1499938964844,267.1499938964844,38.0,0.0,0.0,
2015-10-15,269.989990234375,270.8500061035156,268.0,268.0,169.0,0.0,0.0,
2015-10-16,268.010009765625,270.5,265.0,270.5,314.0,0.0,0.0,
2015-10-19,271.0,274.3999938964844,271.0,273.1199951171875,92.0,0.0,0.0,
2015-10-20,274.7999877929688,274.7999877929688,270.75,272.0,94.0,0.0,0.0,
2015-10-21,269.7000122070312,274.8500061035156,269.7000122070312,274.8500061035156,10.0,0.0,0.0,
2015-10-23,274.8500061035156,274.8500061035156,265.2000122070312,266.510009765625,96.0,0.0,0.0,
2015-10-26,277.0,277.0,268.2000122070312,273.9500122070312,123.0,0.0,0.0,
2015-10-27,300.0,300.0,299.9500122070312,299.9500122070312,101.0,0.0,0.0,
2015-10-28,293.5,293.5,293.5,293.5,4.0,0.0,0.0,
2015-10-29,268.6142883300781,268.6142883300781,268.6142883300781,268.6142883300781,0.0,0.0,0.0,
2015-10-30,252.0,262.1000061035156,252.0,261.0,38.0,0.0,0.0,
2015-11-02,266.0,268.0,266.0,267.5,400.0,0.0,0.0,
2015-11-03,267.7999877929688,267.7999877929688,267.7999877929688,267.7999877929688,5.0,0.0,0.0,
2015-11-04,267.75,267.75,265.0,265.0,401.0,0.0,0.0,
2015-11-05,265.0,265.5,263.5,263.7999877929688,50.0,0.0,0.0,
2015-11-06,263.5,264.5499877929688,263.5,264.5499877929688,2.0,0.0,0.0,
2015-11-09,261.6086120605469,261.6086120605469,261.6086120605469,261.6086120605469,0.0,0.0,0.0,
2015-11-10,261.0499877929688,262.3500061035156,258.5,258.7099914550781,128.0,0.0,0.0,
2015-11-13,257.5499877929688,258.2000122070312,257.3999938964844,257.5499877929688,23.0,0.0,0.0,
2015-11-16,255.1000061035156,257.9800109863281,254.4299926757812,257.9800109863281,148.0,0.0,0.0,
2015-11-17,258.3500061035156,258.3500061035156,258.3500061035156,258.3500061035156,15.0,0.0,0.0,
2015-11-18,259.2000122070312,259.2000122070312,259.2000122070312,259.2000122070312,1.0,0.0,0.0,
2015-11-19,258.9548034667969,258.9548034667969,258.9548034667969,258.9548034667969,0.0,0.0,0.0,
2015-11-20,260.4500122070312,260.4500122070312,260.4500122070312,260.4500122070312,19.0,0.0,0.0,
2015-11-23,262.0,262.0,257.4500122070312,260.0,135.0,0.0,0.0,
2015-11-24,258.9500122070312,258.9500122070312,258.9500122070312,258.9500122070312,15.0,0.0,0.0,
2015-11-26,260.1029968261719,260.1029968261719,260.1029968261719,260.1029968261719,0.0,0.0,0.0,
