Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Adj Close
2014-12-04,188.0697021484375,188.0697021484375,188.0697021484375,188.0697021484375,0.0,0.0,0.0,
2014-12-10,184.7149963378906,184.7149963378906,184.7149963378906,184.7149963378906,0.0,0.0,0.0,
2014-12-11,184.0809020996094,184.0809020996094,184.0809020996094,184.0809020996094,0.0,0.0,0.0,
2014-12-12,183.0290069580078,183.0290069580078,183.0290069580078,183.0290069580078,0.0,0.0,0.0,
2014-12-15,183.25,184.5,183.25,184.0,1845.0,0.0,0.0,
2014-12-16,184.0,184.0,178.5,179.5800018310547,2659.0,0.0,0.0,
2014-12-17,180.0,181.0,175.0500030517578,179.0,921.0,0.0,0.0,
2014-12-18,182.0,182.4900054931641,181.75,182.0,991.0,0.0,0.0,
2014-12-19,184.8000030517578,186.0,184.0,184.6000061035156,11189.0,0.0,0.0,
2014-12-22,185.0,187.0,184.5,187.0,801.0,0.0,0.0,
2014-12-23,188.5,188.5,186.0,187.5,565.0,0.0,0.0,
2014-12-24,186.0,187.0,186.0,186.25,545.0,0.0,0.0,
2014-12-26,186.5,187.0,185.0,185.8899993896484,1714.0,0.0,0.0,
2014-12-29,187.0,187.0,186.1000061035156,186.8399963378906,1064.0,0.0,0.0,
2014-12-30,187.0,187.0,185.8000030517578,186.5,3900.0,0.0,0.0,
2014-12-31,187.0,187.75,187.0,187.0,1500.0,0.0,0.0,
2015-01-01,187.0,187.5,186.5,186.8999938964844,231.0,0.0,0.0,
2015-01-02,189.25,191.0,189.0,190.8000030517578,1132.0,0.0,0.0,
2015-01-05,192.0,193.0,190.0,191.0,857.0,0.0,0.0,
2015-01-06,188.0,188.5,186.5,187.5,1102.0,0.0,0.0,
2015-01-07,184.0,185.0,183.8000030517578,184.5,625.0,0.0,0.0,
2015-01-08,186.5,188.0,186.5,187.0,516.0,0.0,0.0,
2015-01-09,189.0,189.0,186.0,186.5,321.0,0.0,0.0,
2015-01-12,185.5,188.0,185.5,188.0,626.0,0.0,0.0,
2015-01-13,189.0,189.0,189.0,189.0,90.0,0.0,0.0,
2015-01-14,188.0,188.0,188.0,188.0,10.0,0.0,0.0,
2015-01-15,190.5,191.0,189.0,189.1300048828125,647.0,0.0,0.0,
2015-01-16,192.0,192.0,190.0,190.9400024414062,260.0,0.0,0.0,
2015-01-19,192.5,193.0,192.0,193.0,525.0,0.0,0.0,
2015-01-20,194.5,198.0,194.5,198.0,493.0,0.0,0.0,
2015-01-21,205.0,205.0,187.25,197.8800048828125,1562.0,0.0,0.0,
2015-01-22,198.0,199.0,198.0,199.0,256.0,0.0,0.0,
2015-01-23,202.0,207.0,201.0,201.0,927.0,0.0,0.0,
2015-01-27,206.9900054931641,206.9900054931641,194.7299957275391,204.9400024414062,15601.0,0.0,0.0,
2015-01-28,204.8999938964844,206.0,204.8999938964844,205.1600036621094,561.0,0.0,0.0,
2015-01-29,204.5,206.0,204.0,204.5,1523.0,0.0,0.0,
2015-01-30,204.0,204.0,196.0500030517578,200.0,1135.0,0.0,0.0,
2015-02-02,197.75,199.0,197.0,198.9499969482422,702.0,0.0,0.0,
2015-02-03,200.0,201.0,195.0500030517578,197.0,987.0,0.0,0.0,
2015-02-04,195.0,196.0,192.5,193.2400054931641,1217.0,0.0,0.0,
2015-02-05,191.0,195.0,191.0,191.0500030517578,18826.0,0.0,0.0,
2015-02-06,190.0,192.0,187.0500030517578,189.8099975585938,814.0,0.0,0.0,
2015-02-09,185.0599975585938,188.0,185.0599975585938,185.5,324.0,0.0,0.0,
2015-02-10,185.0099945068359,187.0,185.0,186.0,491.0,0.0,0.0,
2015-02-11,189.0,191.0,189.0,191.0,436.0,0.0,0.0,
2015-02-12,189.5,192.0,188.0,191.1799926757812,783.0,0.0,0.0,
2015-02-13,191.0,192.0,191.0,192.0,200.0,0.0,0.0,
2015-02-16,195.5,197.0,193.0,193.2200012207031,1241.0,0.0,0.0,
2015-02-18,193.0,193.1000061035156,193.0,193.1000061035156,250.0,0.0,0.0,
2015-02-19,193.0,194.0,191.0,193.0,330.0,0.0,0.0,
2015-02-20,193.0,195.0,192.0,192.5,355.0,0.0,0.0,
2015-02-23,193.0,193.0,190.0,190.1999969482422,455.0,0.0,0.0,
2015-02-24,189.0,190.0,176.5,183.6999969482422,3924.0,0.0,0.0,
2015-02-25,190.0,190.0,188.0,189.0,457.0,0.0,0.0,
2015-02-26,187.0200042724609,187.0200042724609,184.5,184.8699951171875,304.0,0.0,0.0,
2015-02-27,187.0,189.0,186.0099945068359,188.0899963378906,335.0,0.0,0.0,
2015-03-02,199.0,200.0,195.0,198.0,1926.0,0.0,0.0,
2015-03-03,198.25,200.0,198.0,199.0,856.0,0.0,0.0,
2015-03-04,201.0,202.0,195.2599945068359,196.0,2538.0,0.0,0.0,
2015-03-05,197.0,199.0,195.5500030517578,197.9299926757812,4298.0,0.0,0.0,
2015-03-09,195.0,195.0,192.0,192.0099945068359,2234.0,0.0,0.0,
2015-03-10,193.0,193.0,190.0,191.0,1901.0,0.0,0.0,
2015-03-11,193.0,194.0,191.5,193.4900054931641,460.0,0.0,0.0,
2015-03-12,193.0,193.9900054931641,193.0,193.9900054931641,20.0,0.0,0.0,
2015-03-13,194.0,194.0,188.1999969482422,188.8699951171875,602.0,0.0,0.0,
2015-03-16,188.25,190.0,186.0,189.1000061035156,1834.0,0.0,0.0,
2015-03-17,190.0,190.0,188.0,190.0,201.0,0.0,0.0,
2015-03-18,191.0,191.0,189.0,189.0,46.0,0.0,0.0,
2015-03-19,192.0,195.0,184.5,187.5500030517578,3242.0,0.0,0.0,
2015-03-20,188.0,189.0,188.0,188.25,36.0,0.0,0.0,
2015-03-23,187.0,189.0,185.0,187.25,576.0,0.0,0.0,
2015-03-24,184.5,187.0,184.5,186.0,1894.0,0.0,0.0,
2015-03-25,184.0,185.0,183.1300048828125,183.3699951171875,281.0,0.0,0.0,
2015-03-26,183.0,183.0,178.75,178.9600067138672,2808.0,0.0,0.0,
2015-03-27,180.0,180.0,178.0,179.8000030517578,1362.0,0.0,0.0,
2015-03-30,183.0,184.0,180.5500030517578,182.0,937.0,0.0,0.0,
2015-03-31,182.0,184.9900054931641,180.0,180.4100036621094,3288.0,0.0,0.0,
2015-04-01,182.5,186.0,175.6000061035156,184.5200042724609,6173.0,0.0,0.0,
2015-04-06,186.5,186.5,185.1000061035156,185.1000061035156,55.0,0.0,0.0,
2015-04-07,186.0,186.3999938964844,183.0200042724609,184.0200042724609,726.0,0.0,0.0,
2015-04-08,185.5,187.0,184.5,185.9700012207031,1217.0,0.0,0.0,
2015-04-09,186.0,190.0,185.5399932861328,189.3699951171875,437.0,0.0,0.0,
2015-04-10,190.8999938964844,192.0,187.0099945068359,187.6199951171875,13049.0,0.0,0.0,
2015-04-13,187.0,188.0,186.0,187.0200042724609,2290.0,0.0,0.0,
2015-04-15,188.0,192.0,188.0,189.0,136.0,0.0,0.0,
2015-04-16,186.5,187.0,186.0,186.0,299.0,0.0,0.0,
2015-04-17,186.0,186.0,183.0,183.0099945068359,3462.0,0.0,0.0,
2015-04-20,185.0,195.0,182.1000061035156,183.0,18308.0,0.0,0.0,
2015-04-21,184.0,186.8000030517578,182.0,185.4900054931641,29166.0,0.0,0.0,
2015-04-22,185.0,187.3000030517578,180.0,182.8800048828125,40133.0,0.0,0.0,
2015-04-23,184.0,186.0,182.5,184.3200073242188,11621.0,0.0,0.0,
2015-04-24,182.1000061035156,182.5,180.5099945068359,181.4900054931641,10852.0,0.0,0.0,
2015-04-27,182.0,182.5,180.0,180.0,17521.0,0.0,0.0,
2015-04-28,180.75,183.6999969482422,180.1600036621094,183.1900024414062,12922.0,0.0,0.0,
2015-04-29,185.3999938964844,185.5,183.0,184.7299957275391,5527.0,0.0,0.0,
2015-04-30,190.0,190.0,184.0,187.7700042724609,54415.0,0.0,0.0,
2015-05-04,188.0,188.8999938964844,186.5,186.9299926757812,2970.0,0.0,0.0,
2015-05-05,187.0,188.0,186.75,187.7899932861328,3070.0,0.0,0.0,
2015-05-06,198.9499969482422,198.9499969482422,181.1300048828125,181.8600006103516,6587.0,0.0,0.0,
2015-05-07,178.5,187.9600067138672,174.5,174.8999938964844,16117.0,0.0,0.0,
2015-05-08,185.0,185.0,178.0,179.4700012207031,10516.0,0.0,0.0,
2015-05-11,179.5,181.0,179.5,180.0,1052.0,0.0,0.0,
2015-05-12,180.5,180.5,177.0,177.0,559.0,0.0,0.0,
2015-05-13,179.0,180.4299926757812,178.0099945068359,179.3399963378906,865.0,0.0,0.0,
2015-05-14,180.0,180.9900054931641,180.0,180.9900054931641,136.0,0.0,0.0,
2015-05-15,181.0,183.0,181.0,182.25,6542.0,0.0,0.0,
2015-05-18,189.4299926757812,189.4299926757812,182.0,182.8999938964844,713.0,0.0,0.0,
2015-05-19,183.0,184.4900054931641,182.75,184.4400024414062,3355.0,0.0,0.0,
2015-05-20,184.0,188.8000030517578,184.0,185.5899963378906,3377.0,0.0,0.0,
2015-05-21,188.8999938964844,188.8999938964844,184.6499938964844,185.5,1554.0,0.0,0.0,
2015-05-22,185.0,186.9799957275391,183.0,184.0099945068359,1566.0,0.0,0.0,
2015-05-25,184.0,185.0,183.0,183.5800018310547,4915.0,0.0,0.0,
2015-05-26,184.0,184.0,182.0,183.0,2893.0,0.0,0.0,
2015-05-27,183.0,185.0,182.0,184.9100036621094,1895.0,0.0,0.0,
2015-05-28,188.9900054931641,188.9900054931641,184.5,184.5,456.0,0.0,0.0,
2015-05-29,185.0,186.4799957275391,185.0,186.4499969482422,416.0,0.0,0.0,
2015-06-01,188.25,188.25,186.0,186.0,162.0,0.0,0.0,
2015-06-02,187.0,187.7700042724609,180.0200042724609,181.0,1302.0,0.0,0.0,
2015-06-03,179.5,180.9299926757812,176.0,178.8600006103516,4554.0,0.0,0.0,
2015-06-04,178.0,178.9900054931641,175.0,178.9900054931641,387.0,0.0,0.0,
2015-06-05,177.0,179.8999938964844,176.5099945068359,179.2899932861328,1179.0,0.0,0.0,
